,Age,SibSp,Parch,Fare
0,22.0,1,0,7.25
1,38.0,1,0,71.2833
2,26.0,0,0,7.925
3,35.0,1,0,53.1
4,35.0,0,0,8.05
5,,0,0,8.4583
6,54.0,0,0,51.8625
7,2.0,3,1,21.075
8,27.0,0,2,11.1333
9,14.0,1,0,30.0708
10,4.0,1,1,16.7
11,58.0,0,0,26.55
12,20.0,0,0,8.05
13,39.0,1,5,31.275
14,14.0,0,0,7.8542
15,55.0,0,0,16.0
16,2.0,4,1,29.125
17,,0,0,13.0
18,31.0,1,0,18.0
19,,0,0,7.225
20,35.0,0,0,26.0
21,34.0,0,0,13.0
22,15.0,0,0,8.0292
23,28.0,0,0,35.5
24,8.0,3,1,21.075
25,38.0,1,5,31.3875
26,,0,0,7.225
27,19.0,3,2,263.0
28,,0,0,7.8792
29,,0,0,7.8958
30,40.0,0,0,27.7208
31,,1,0,146.5208
32,,0,0,7.75
33,66.0,0,0,10.5
34,28.0,1,0,82.1708
35,42.0,1,0,52.0
36,,0,0,7.2292
37,21.0,0,0,8.05
38,18.0,2,0,18.0
39,14.0,1,0,11.2417
40,40.0,1,0,9.475
41,27.0,1,0,21.0
42,,0,0,7.8958
43,3.0,1,2,41.5792
44,19.0,0,0,7.8792
45,,0,0,8.05
46,,1,0,15.5
47,,0,0,7.75
48,,2,0,21.6792
49,18.0,1,0,17.8
50,7.0,4,1,39.6875
51,21.0,0,0,7.8
52,49.0,1,0,76.7292
53,29.0,1,0,26.0
54,65.0,0,1,61.9792
55,,0,0,35.5
56,21.0,0,0,10.5
57,28.5,0,0,7.2292
58,5.0,1,2,27.75
59,11.0,5,2,46.9
60,22.0,0,0,7.2292
61,38.0,0,0,80.0
62,45.0,1,0,83.475
63,4.0,3,2,27.9
64,,0,0,27.7208
65,,1,1,15.2458
66,29.0,0,0,10.5
67,19.0,0,0,8.1583
68,17.0,4,2,7.925
69,26.0,2,0,8.6625
70,32.0,0,0,10.5
71,16.0,5,2,46.9
72,21.0,0,0,73.5
73,26.0,1,0,14.4542
74,32.0,0,0,56.4958
75,25.0,0,0,7.65
76,,0,0,7.8958
77,,0,0,8.05
78,0.83,0,2,29.0
79,30.0,0,0,12.475
80,22.0,0,0,9.0
81,29.0,0,0,9.5
82,,0,0,7.7875
83,28.0,0,0,47.1
84,17.0,0,0,10.5
85,33.0,3,0,15.85
86,16.0,1,3,34.375
87,,0,0,8.05
88,23.0,3,2,263.0
89,24.0,0,0,8.05
90,29.0,0,0,8.05
91,20.0,0,0,7.8542
92,46.0,1,0,61.175
93,26.0,1,2,20.575
94,59.0,0,0,7.25
95,,0,0,8.05
96,71.0,0,0,34.6542
97,23.0,0,1,63.3583
98,34.0,0,1,23.0
99,34.0,1,0,26.0
100,28.0,0,0,7.8958
101,,0,0,7.8958
102,21.0,0,1,77.2875
103,33.0,0,0,8.6542
104,37.0,2,0,7.925
105,28.0,0,0,7.8958
106,21.0,0,0,7.65
107,,0,0,7.775
108,38.0,0,0,7.8958
109,,1,0,24.15
110,47.0,0,0,52.0
111,14.5,1,0,14.4542
112,22.0,0,0,8.05
113,20.0,1,0,9.825
114,17.0,0,0,14.4583
115,21.0,0,0,7.925
116,70.5,0,0,7.75
117,29.0,1,0,21.0
118,24.0,0,1,247.5208
119,2.0,4,2,31.275
120,21.0,2,0,73.5
121,,0,0,8.05
122,32.5,1,0,30.0708
123,32.5,0,0,13.0
124,54.0,0,1,77.2875
125,12.0,1,0,11.2417
126,,0,0,7.75
127,24.0,0,0,7.1417
128,,1,1,22.3583
129,45.0,0,0,6.975
130,33.0,0,0,7.8958
131,20.0,0,0,7.05
132,47.0,1,0,14.5
133,29.0,1,0,26.0
134,25.0,0,0,13.0
135,23.0,0,0,15.0458
136,19.0,0,2,26.2833
137,37.0,1,0,53.1
138,16.0,0,0,9.2167
139,24.0,0,0,79.2
140,,0,2,15.2458
141,22.0,0,0,7.75
142,24.0,1,0,15.85
143,19.0,0,0,6.75
144,18.0,0,0,11.5
145,19.0,1,1,36.75
146,27.0,0,0,7.7958
147,9.0,2,2,34.375
148,36.5,0,2,26.0
149,42.0,0,0,13.0
150,51.0,0,0,12.525
151,22.0,1,0,66.6
152,55.5,0,0,8.05
153,40.5,0,2,14.5
154,,0,0,7.3125
155,51.0,0,1,61.3792
156,16.0,0,0,7.7333
157,30.0,0,0,8.05
158,,0,0,8.6625
159,,8,2,69.55
160,44.0,0,1,16.1
161,40.0,0,0,15.75
162,26.0,0,0,7.775
163,17.0,0,0,8.6625
164,1.0,4,1,39.6875
165,9.0,0,2,20.525
166,,0,1,55.0
167,45.0,1,4,27.9
168,,0,0,25.925
169,28.0,0,0,56.4958
170,61.0,0,0,33.5
171,4.0,4,1,29.125
172,1.0,1,1,11.1333
173,21.0,0,0,7.925
174,56.0,0,0,30.6958
175,18.0,1,1,7.8542
176,,3,1,25.4667
177,50.0,0,0,28.7125
178,30.0,0,0,13.0
179,36.0,0,0,0.0
180,,8,2,69.55
181,,0,0,15.05
182,9.0,4,2,31.3875
183,1.0,2,1,39.0
184,4.0,0,2,22.025
185,,0,0,50.0
186,,1,0,15.5
187,45.0,0,0,26.55
188,40.0,1,1,15.5
189,36.0,0,0,7.8958
190,32.0,0,0,13.0
191,19.0,0,0,13.0
192,19.0,1,0,7.8542
193,3.0,1,1,26.0
194,44.0,0,0,27.7208
195,58.0,0,0,146.5208
196,,0,0,7.75
197,42.0,0,1,8.4042
198,,0,0,7.75
199,24.0,0,0,13.0
200,28.0,0,0,9.5
201,,8,2,69.55
202,34.0,0,0,6.4958
203,45.5,0,0,7.225
204,18.0,0,0,8.05
205,2.0,0,1,10.4625
206,32.0,1,0,15.85
207,26.0,0,0,18.7875
208,16.0,0,0,7.75
209,40.0,0,0,31.0
210,24.0,0,0,7.05
211,35.0,0,0,21.0
212,22.0,0,0,7.25
213,30.0,0,0,13.0
214,,1,0,7.75
215,31.0,1,0,113.275
216,27.0,0,0,7.925
217,42.0,1,0,27.0
218,32.0,0,0,76.2917
219,30.0,0,0,10.5
220,16.0,0,0,8.05
221,27.0,0,0,13.0
222,51.0,0,0,8.05
223,,0,0,7.8958
224,38.0,1,0,90.0
225,22.0,0,0,9.35
226,19.0,0,0,10.5
227,20.5,0,0,7.25
228,18.0,0,0,13.0
229,,3,1,25.4667
230,35.0,1,0,83.475
231,29.0,0,0,7.775
232,59.0,0,0,13.5
233,5.0,4,2,31.3875
234,24.0,0,0,10.5
235,,0,0,7.55
236,44.0,1,0,26.0
237,8.0,0,2,26.25
238,19.0,0,0,10.5
239,33.0,0,0,12.275
240,,1,0,14.4542
241,,1,0,15.5
242,29.0,0,0,10.5
243,22.0,0,0,7.125
244,30.0,0,0,7.225
245,44.0,2,0,90.0
246,25.0,0,0,7.775
247,24.0,0,2,14.5
248,37.0,1,1,52.5542
249,54.0,1,0,26.0
250,,0,0,7.25
251,29.0,1,1,10.4625
252,62.0,0,0,26.55
253,30.0,1,0,16.1
254,41.0,0,2,20.2125
255,29.0,0,2,15.2458
256,,0,0,79.2
257,30.0,0,0,86.5
258,35.0,0,0,512.3292
259,50.0,0,1,26.0
260,,0,0,7.75
261,3.0,4,2,31.3875
262,52.0,1,1,79.65
263,40.0,0,0,0.0
264,,0,0,7.75
265,36.0,0,0,10.5
266,16.0,4,1,39.6875
267,25.0,1,0,7.775
268,58.0,0,1,153.4625
269,35.0,0,0,135.6333
270,,0,0,31.0
271,25.0,0,0,0.0
272,41.0,0,1,19.5
273,37.0,0,1,29.7
274,,0,0,7.75
275,63.0,1,0,77.9583
276,45.0,0,0,7.75
277,,0,0,0.0
278,7.0,4,1,29.125
279,35.0,1,1,20.25
280,65.0,0,0,7.75
281,28.0,0,0,7.8542
282,16.0,0,0,9.5
283,19.0,0,0,8.05
284,,0,0,26.0
285,33.0,0,0,8.6625
286,30.0,0,0,9.5
287,22.0,0,0,7.8958
288,42.0,0,0,13.0
289,22.0,0,0,7.75
290,26.0,0,0,78.85
291,19.0,1,0,91.0792
292,36.0,0,0,12.875
293,24.0,0,0,8.85
294,24.0,0,0,7.8958
295,,0,0,27.7208
296,23.5,0,0,7.2292
297,2.0,1,2,151.55
298,,0,0,30.5
299,50.0,0,1,247.5208
300,,0,0,7.75
301,,2,0,23.25
302,19.0,0,0,0.0
303,,0,0,12.35
304,,0,0,8.05
305,0.92,1,2,151.55
306,,0,0,110.8833
307,17.0,1,0,108.9
308,30.0,1,0,24.0
309,30.0,0,0,56.9292
310,24.0,0,0,83.1583
311,18.0,2,2,262.375
312,26.0,1,1,26.0
313,28.0,0,0,7.8958
314,43.0,1,1,26.25
315,26.0,0,0,7.8542
316,24.0,1,0,26.0
317,54.0,0,0,14.0
318,31.0,0,2,164.8667
319,40.0,1,1,134.5
320,22.0,0,0,7.25
321,27.0,0,0,7.8958
322,30.0,0,0,12.35
323,22.0,1,1,29.0
324,,8,2,69.55
325,36.0,0,0,135.6333
326,61.0,0,0,6.2375
327,36.0,0,0,13.0
328,31.0,1,1,20.525
329,16.0,0,1,57.9792
330,,2,0,23.25
331,45.5,0,0,28.5
332,38.0,0,1,153.4625
333,16.0,2,0,18.0
334,,1,0,133.65
335,,0,0,7.8958
336,29.0,1,0,66.6
337,41.0,0,0,134.5
338,45.0,0,0,8.05
339,45.0,0,0,35.5
340,2.0,1,1,26.0
341,24.0,3,2,263.0
342,28.0,0,0,13.0
343,25.0,0,0,13.0
344,36.0,0,0,13.0
345,24.0,0,0,13.0
346,40.0,0,0,13.0
347,,1,0,16.1
348,3.0,1,1,15.9
349,42.0,0,0,8.6625
350,23.0,0,0,9.225
351,,0,0,35.0
352,15.0,1,1,7.2292
353,25.0,1,0,17.8
354,,0,0,7.225
355,28.0,0,0,9.5
356,22.0,0,1,55.0
357,38.0,0,0,13.0
358,,0,0,7.8792
359,,0,0,7.8792
360,40.0,1,4,27.9
361,29.0,1,0,27.7208
362,45.0,0,1,14.4542
363,35.0,0,0,7.05
364,,1,0,15.5
365,30.0,0,0,7.25
366,60.0,1,0,75.25
367,,0,0,7.2292
368,,0,0,7.75
369,24.0,0,0,69.3
370,25.0,1,0,55.4417
371,18.0,1,0,6.4958
372,19.0,0,0,8.05
373,22.0,0,0,135.6333
374,3.0,3,1,21.075
375,,1,0,82.1708
376,22.0,0,0,7.25
377,27.0,0,2,211.5
378,20.0,0,0,4.0125
379,19.0,0,0,7.775
380,42.0,0,0,227.525
381,1.0,0,2,15.7417
382,32.0,0,0,7.925
383,35.0,1,0,52.0
384,,0,0,7.8958
385,18.0,0,0,73.5
386,1.0,5,2,46.9
387,36.0,0,0,13.0
388,,0,0,7.7292
389,17.0,0,0,12.0
390,36.0,1,2,120.0
391,21.0,0,0,7.7958
392,28.0,2,0,7.925
393,23.0,1,0,113.275
394,24.0,0,2,16.7
395,22.0,0,0,7.7958
396,31.0,0,0,7.8542
397,46.0,0,0,26.0
398,23.0,0,0,10.5
399,28.0,0,0,12.65
400,39.0,0,0,7.925
401,26.0,0,0,8.05
402,21.0,1,0,9.825
403,28.0,1,0,15.85
404,20.0,0,0,8.6625
405,34.0,1,0,21.0
406,51.0,0,0,7.75
407,3.0,1,1,18.75
408,21.0,0,0,7.775
409,,3,1,25.4667
410,,0,0,7.8958
411,,0,0,6.8583
412,33.0,1,0,90.0
413,,0,0,0.0
414,44.0,0,0,7.925
415,,0,0,8.05
416,34.0,1,1,32.5
417,18.0,0,2,13.0
418,30.0,0,0,13.0
419,10.0,0,2,24.15
420,,0,0,7.8958
421,21.0,0,0,7.7333
422,29.0,0,0,7.875
423,28.0,1,1,14.4
424,18.0,1,1,20.2125
425,,0,0,7.25
426,28.0,1,0,26.0
427,19.0,0,0,26.0
428,,0,0,7.75
429,32.0,0,0,8.05
430,28.0,0,0,26.55
431,,1,0,16.1
432,42.0,1,0,26.0
433,17.0,0,0,7.125
434,50.0,1,0,55.9
435,14.0,1,2,120.0
436,21.0,2,2,34.375
437,24.0,2,3,18.75
438,64.0,1,4,263.0
439,31.0,0,0,10.5
440,45.0,1,1,26.25
441,20.0,0,0,9.5
442,25.0,1,0,7.775
443,28.0,0,0,13.0
444,,0,0,8.1125
445,4.0,0,2,81.8583
446,13.0,0,1,19.5
447,34.0,0,0,26.55
448,5.0,2,1,19.2583
449,52.0,0,0,30.5
450,36.0,1,2,27.75
451,,1,0,19.9667
452,30.0,0,0,27.75
453,49.0,1,0,89.1042
454,,0,0,8.05
455,29.0,0,0,7.8958
456,65.0,0,0,26.55
457,,1,0,51.8625
458,50.0,0,0,10.5
459,,0,0,7.75
460,48.0,0,0,26.55
461,34.0,0,0,8.05
462,47.0,0,0,38.5
463,48.0,0,0,13.0
464,,0,0,8.05
465,38.0,0,0,7.05
466,,0,0,0.0
467,56.0,0,0,26.55
468,,0,0,7.725
469,0.75,2,1,19.2583
470,,0,0,7.25
471,38.0,0,0,8.6625
472,33.0,1,2,27.75
473,23.0,0,0,13.7917
474,22.0,0,0,9.8375
475,,0,0,52.0
476,34.0,1,0,21.0
477,29.0,1,0,7.0458
478,22.0,0,0,7.5208
479,2.0,0,1,12.2875
480,9.0,5,2,46.9
481,,0,0,0.0
482,50.0,0,0,8.05
483,63.0,0,0,9.5875
484,25.0,1,0,91.0792
485,,3,1,25.4667
486,35.0,1,0,90.0
487,58.0,0,0,29.7
488,30.0,0,0,8.05
489,9.0,1,1,15.9
490,,1,0,19.9667
491,21.0,0,0,7.25
492,55.0,0,0,30.5
493,71.0,0,0,49.5042
494,21.0,0,0,8.05
495,,0,0,14.4583
496,54.0,1,0,78.2667
497,,0,0,15.1
498,25.0,1,2,151.55
499,24.0,0,0,7.7958
500,17.0,0,0,8.6625
501,21.0,0,0,7.75
502,,0,0,7.6292
503,37.0,0,0,9.5875
504,16.0,0,0,86.5
505,18.0,1,0,108.9
506,33.0,0,2,26.0
507,,0,0,26.55
508,28.0,0,0,22.525
509,26.0,0,0,56.4958
510,29.0,0,0,7.75
511,,0,0,8.05
512,36.0,0,0,26.2875
513,54.0,1,0,59.4
514,24.0,0,0,7.4958
515,47.0,0,0,34.0208
516,34.0,0,0,10.5
517,,0,0,24.15
518,36.0,1,0,26.0
519,32.0,0,0,7.8958
520,30.0,0,0,93.5
521,22.0,0,0,7.8958
522,,0,0,7.225
523,44.0,0,1,57.9792
524,,0,0,7.2292
525,40.5,0,0,7.75
526,50.0,0,0,10.5
527,,0,0,221.7792
528,39.0,0,0,7.925
529,23.0,2,1,11.5
530,2.0,1,1,26.0
531,,0,0,7.2292
532,17.0,1,1,7.2292
533,,0,2,22.3583
534,30.0,0,0,8.6625
535,7.0,0,2,26.25
536,45.0,0,0,26.55
537,30.0,0,0,106.425
538,,0,0,14.5
539,22.0,0,2,49.5
540,36.0,0,2,71.0
541,9.0,4,2,31.275
542,11.0,4,2,31.275
543,32.0,1,0,26.0
544,50.0,1,0,106.425
545,64.0,0,0,26.0
546,19.0,1,0,26.0
547,,0,0,13.8625
548,33.0,1,1,20.525
549,8.0,1,1,36.75
550,17.0,0,2,110.8833
551,27.0,0,0,26.0
552,,0,0,7.8292
553,22.0,0,0,7.225
554,22.0,0,0,7.775
555,62.0,0,0,26.55
556,48.0,1,0,39.6
557,,0,0,227.525
558,39.0,1,1,79.65
559,36.0,1,0,17.4
560,,0,0,7.75
561,40.0,0,0,7.8958
562,28.0,0,0,13.5
563,,0,0,8.05
564,,0,0,8.05
565,24.0,2,0,24.15
566,19.0,0,0,7.8958
567,29.0,0,4,21.075
568,,0,0,7.2292
569,32.0,0,0,7.8542
570,62.0,0,0,10.5
571,53.0,2,0,51.4792
572,36.0,0,0,26.3875
573,,0,0,7.75
574,16.0,0,0,8.05
575,19.0,0,0,14.5
576,34.0,0,0,13.0
577,39.0,1,0,55.9
578,,1,0,14.4583
579,32.0,0,0,7.925
580,25.0,1,1,30.0
581,39.0,1,1,110.8833
582,54.0,0,0,26.0
583,36.0,0,0,40.125
584,,0,0,8.7125
585,18.0,0,2,79.65
586,47.0,0,0,15.0
587,60.0,1,1,79.2
588,22.0,0,0,8.05
589,,0,0,8.05
590,35.0,0,0,7.125
591,52.0,1,0,78.2667
592,47.0,0,0,7.25
593,,0,2,7.75
594,37.0,1,0,26.0
595,36.0,1,1,24.15
596,,0,0,33.0
597,49.0,0,0,0.0
598,,0,0,7.225
599,49.0,1,0,56.9292
600,24.0,2,1,27.0
601,,0,0,7.8958
602,,0,0,42.4
603,44.0,0,0,8.05
604,35.0,0,0,26.55
605,36.0,1,0,15.55
606,30.0,0,0,7.8958
607,27.0,0,0,30.5
608,22.0,1,2,41.5792
609,40.0,0,0,153.4625
610,39.0,1,5,31.275
611,,0,0,7.05
612,,1,0,15.5
613,,0,0,7.75
614,35.0,0,0,8.05
615,24.0,1,2,65.0
616,34.0,1,1,14.4
617,26.0,1,0,16.1
618,4.0,2,1,39.0
619,26.0,0,0,10.5
620,27.0,1,0,14.4542
621,42.0,1,0,52.5542
622,20.0,1,1,15.7417
623,21.0,0,0,7.8542
624,21.0,0,0,16.1
625,61.0,0,0,32.3208
626,57.0,0,0,12.35
627,21.0,0,0,77.9583
628,26.0,0,0,7.8958
629,,0,0,7.7333
630,80.0,0,0,30.0
631,51.0,0,0,7.0542
632,32.0,0,0,30.5
633,,0,0,0.0
634,9.0,3,2,27.9
635,28.0,0,0,13.0
636,32.0,0,0,7.925
637,31.0,1,1,26.25
638,41.0,0,5,39.6875
639,,1,0,16.1
640,20.0,0,0,7.8542
641,24.0,0,0,69.3
642,2.0,3,2,27.9
643,,0,0,56.4958
644,0.75,2,1,19.2583
645,48.0,1,0,76.7292
646,19.0,0,0,7.8958
647,56.0,0,0,35.5
648,,0,0,7.55
649,23.0,0,0,7.55
650,,0,0,7.8958
651,18.0,0,1,23.0
652,21.0,0,0,8.4333
653,,0,0,7.8292
654,18.0,0,0,6.75
655,24.0,2,0,73.5
656,,0,0,7.8958
657,32.0,1,1,15.5
658,23.0,0,0,13.0
659,58.0,0,2,113.275
660,50.0,2,0,133.65
661,40.0,0,0,7.225
662,47.0,0,0,25.5875
663,36.0,0,0,7.4958
664,20.0,1,0,7.925
665,32.0,2,0,73.5
666,25.0,0,0,13.0
667,,0,0,7.775
668,43.0,0,0,8.05
669,,1,0,52.0
670,40.0,1,1,39.0
671,31.0,1,0,52.0
672,70.0,0,0,10.5
673,31.0,0,0,13.0
674,,0,0,0.0
675,18.0,0,0,7.775
676,24.5,0,0,8.05
677,18.0,0,0,9.8417
678,43.0,1,6,46.9
679,36.0,0,1,512.3292
680,,0,0,8.1375
681,27.0,0,0,76.7292
682,20.0,0,0,9.225
683,14.0,5,2,46.9
684,60.0,1,1,39.0
685,25.0,1,2,41.5792
686,14.0,4,1,39.6875
687,19.0,0,0,10.1708
688,18.0,0,0,7.7958
689,15.0,0,1,211.3375
690,31.0,1,0,57.0
691,4.0,0,1,13.4167
692,,0,0,56.4958
693,25.0,0,0,7.225
694,60.0,0,0,26.55
695,52.0,0,0,13.5
696,44.0,0,0,8.05
697,,0,0,7.7333
698,49.0,1,1,110.8833
699,42.0,0,0,7.65
700,18.0,1,0,227.525
701,35.0,0,0,26.2875
702,18.0,0,1,14.4542
703,25.0,0,0,7.7417
704,26.0,1,0,7.8542
705,39.0,0,0,26.0
706,45.0,0,0,13.5
707,42.0,0,0,26.2875
708,22.0,0,0,151.55
709,,1,1,15.2458
710,24.0,0,0,49.5042
711,,0,0,26.55
712,48.0,1,0,52.0
713,29.0,0,0,9.4833
714,52.0,0,0,13.0
715,19.0,0,0,7.65
716,38.0,0,0,227.525
717,27.0,0,0,10.5
718,,0,0,15.5
719,33.0,0,0,7.775
720,6.0,0,1,33.0
721,17.0,1,0,7.0542
722,34.0,0,0,13.0
723,50.0,0,0,13.0
724,27.0,1,0,53.1
725,20.0,0,0,8.6625
726,30.0,3,0,21.0
727,,0,0,7.7375
728,25.0,1,0,26.0
729,25.0,1,0,7.925
730,29.0,0,0,211.3375
731,11.0,0,0,18.7875
732,,0,0,0.0
733,23.0,0,0,13.0
734,23.0,0,0,13.0
735,28.5,0,0,16.1
736,48.0,1,3,34.375
737,35.0,0,0,512.3292
738,,0,0,7.8958
739,,0,0,7.8958
740,,0,0,30.0
741,36.0,1,0,78.85
742,21.0,2,2,262.375
743,24.0,1,0,16.1
744,31.0,0,0,7.925
745,70.0,1,1,71.0
746,16.0,1,1,20.25
747,30.0,0,0,13.0
748,19.0,1,0,53.1
749,31.0,0,0,7.75
750,4.0,1,1,23.0
751,6.0,0,1,12.475
752,33.0,0,0,9.5
753,23.0,0,0,7.8958
754,48.0,1,2,65.0
755,0.67,1,1,14.5
756,28.0,0,0,7.7958
757,18.0,0,0,11.5
758,34.0,0,0,8.05
759,33.0,0,0,86.5
760,,0,0,14.5
761,41.0,0,0,7.125
762,20.0,0,0,7.2292
763,36.0,1,2,120.0
764,16.0,0,0,7.775
765,51.0,1,0,77.9583
766,,0,0,39.6
767,30.5,0,0,7.75
768,,1,0,24.15
769,32.0,0,0,8.3625
770,24.0,0,0,9.5
771,48.0,0,0,7.8542
772,57.0,0,0,10.5
773,,0,0,7.225
774,54.0,1,3,23.0
775,18.0,0,0,7.75
776,,0,0,7.75
777,5.0,0,0,12.475
778,,0,0,7.7375
779,43.0,0,1,211.3375
780,13.0,0,0,7.2292
781,17.0,1,0,57.0
782,29.0,0,0,30.0
783,,1,2,23.45
784,25.0,0,0,7.05
785,25.0,0,0,7.25
786,18.0,0,0,7.4958
787,8.0,4,1,29.125
788,1.0,1,2,20.575
789,46.0,0,0,79.2
790,,0,0,7.75
791,16.0,0,0,26.0
792,,8,2,69.55
793,,0,0,30.6958
794,25.0,0,0,7.8958
795,39.0,0,0,13.0
796,49.0,0,0,25.9292
797,31.0,0,0,8.6833
798,30.0,0,0,7.2292
799,30.0,1,1,24.15
800,34.0,0,0,13.0
801,31.0,1,1,26.25
802,11.0,1,2,120.0
803,0.42,0,1,8.5167
804,27.0,0,0,6.975
805,31.0,0,0,7.775
806,39.0,0,0,0.0
807,18.0,0,0,7.775
808,39.0,0,0,13.0
809,33.0,1,0,53.1
810,26.0,0,0,7.8875
811,39.0,0,0,24.15
812,35.0,0,0,10.5
813,6.0,4,2,31.275
814,30.5,0,0,8.05
815,,0,0,0.0
816,23.0,0,0,7.925
817,31.0,1,1,37.0042
818,43.0,0,0,6.45
819,10.0,3,2,27.9
820,52.0,1,1,93.5
821,27.0,0,0,8.6625
822,38.0,0,0,0.0
823,27.0,0,1,12.475
824,2.0,4,1,39.6875
825,,0,0,6.95
826,,0,0,56.4958
827,1.0,0,2,37.0042
828,,0,0,7.75
829,62.0,0,0,80.0
830,15.0,1,0,14.4542
831,0.83,1,1,18.75
832,,0,0,7.2292
833,23.0,0,0,7.8542
834,18.0,0,0,8.3
835,39.0,1,1,83.1583
836,21.0,0,0,8.6625
837,,0,0,8.05
838,32.0,0,0,56.4958
839,,0,0,29.7
840,20.0,0,0,7.925
841,16.0,0,0,10.5
842,30.0,0,0,31.0
843,34.5,0,0,6.4375
844,17.0,0,0,8.6625
845,42.0,0,0,7.55
846,,8,2,69.55
847,35.0,0,0,7.8958
848,28.0,0,1,33.0
849,,1,0,89.1042
850,4.0,4,2,31.275
851,74.0,0,0,7.775
852,9.0,1,1,15.2458
853,16.0,0,1,39.4
854,44.0,1,0,26.0
855,18.0,0,1,9.35
856,45.0,1,1,164.8667
857,51.0,0,0,26.55
858,24.0,0,3,19.2583
859,,0,0,7.2292
860,41.0,2,0,14.1083
861,21.0,1,0,11.5
862,48.0,0,0,25.9292
863,,8,2,69.55
864,24.0,0,0,13.0
865,42.0,0,0,13.0
866,27.0,1,0,13.8583
867,31.0,0,0,50.4958
868,,0,0,9.5
869,4.0,1,1,11.1333
870,26.0,0,0,7.8958
871,47.0,1,1,52.5542
872,33.0,0,0,5.0
873,47.0,0,0,9.0
874,28.0,1,0,24.0
875,15.0,0,0,7.225
876,20.0,0,0,9.8458
877,19.0,0,0,7.8958
878,,0,0,7.8958
879,56.0,0,1,83.1583
880,25.0,0,1,26.0
881,33.0,0,0,7.8958
882,22.0,0,0,10.5167
883,28.0,0,0,10.5
884,25.0,0,0,7.05
885,39.0,0,5,29.125
886,27.0,0,0,13.0
887,19.0,0,0,30.0
888,,1,2,23.45
889,26.0,0,0,30.0
890,32.0,0,0,7.75
